Centro,Almacén,Material,N° Pallet,Lote,Fecha,Stock,UN,Bloqueado,Antiguedad_dias
P109,I93,930101928,1001379116,24E23FJHLH,23.05.24,48,UN,,510
P109,I93,930101928,1001379117,24E23FJHLD,23.05.24,48,UN,,510
P109,I93,930101928,1001379118,24E22FJHLA,22.05.24,48,UN,,511
P109,I93,930101928,1001381428,24E13FJHLA,13.05.24,48,UN,,520
P109,I93,930101928,1001381432,24E24FJHLF,24.05.24,48,UN,,509
P109,I93,930101927,1001382104,24E11FJALF,11.05.24,48,UN,,522
P109,I93,930101926,1001388248,24F24FJNLB,24.06.24,48,UN,,478
P109,I93,930101926,1001388249,24F24FJNLC,24.06.24,48,UN,,478
P109,I93,930101926,1001388265,24F25FJNLC,25.06.24,48,UN,,477
P109,I93,930101928,1001394942,24E13FJHLD,13.05.24,48,UN,,520
P109,I93,930101927,1001403353,24E09FJALA,09.05.24,48,UN,,524
P109,I93,930101926,1001403377,24F21FJNLA,21.06.24,48,UN,,481
P109,I93,930101926,1001403378,24F18FJNLC,18.06.24,48,UN,,484
P109,I93,930101926,1001403379,24F19FJNLC,19.06.24,48,UN,,483
P109,I93,930101926,1001403380,24F19FJNLD,19.06.24,48,UN,,483
P109,I93,930101926,1001403381,24F24FJNLD,24.06.24,48,UN,,478
P109,I93,930101927,1001403393,24E11FJALF,11.05.24,48,UN,,522
P109,I93,930101927,1001403417,24E11FJALC,11.05.24,48,UN,,522
P109,I93,930102055,1001512069,25C26AJAEB,26.03.25,36,UN,,203
P109,I93,930102055,1001522120,25D03AJAEA,03.04.25,36,UN,,195
P109,I93,930102055,1001522444,25D04AJAEA,04.04.25,36,UN,,194
P109,I93,920100669,1001615640,25J13GJIEC,13.10.25,36,UN,,2
P109,I93,930101928,1001381437,24E25FJHLC,25.05.24,32,UN,,508
P109,I93,930102055,1001487501,25C04AJAEB,04.03.25,30,UN,,225
P109,I93,930102055,1001492150,25C07AJAEA,07.03.25,30,UN,,222
P109,I93,930102055,1001499395,25C14AJAEA,14.03.25,30,UN,,215
P109,I93,930102055,1001500857,25C15AJAEA,15.03.25,30,UN,,214
P109,I93,930102055,1001502335,25C17AJAED,17.03.25,30,UN,,212
P109,I93,930102055,1001504252,25C19AJAEC,19.03.25,30,UN,,210
P109,I93,930102055,1001504521,25C20AJAEC,20.03.25,30,UN,,209
P109,I93,930102055,1001504558,25C20AJAEE,20.03.25,30,UN,,209
P109,I93,930102055,1001512066,25C26AJAEA,26.03.25,30,UN,,203
P109,I93,930102055,1001545734,25D01AJAEA,01.04.25,30,UN,,197
P109,I93,920100670,1001614115,25J06GJNEE,06.10.25,30,UN,,9
P109,I93,920100670,1001614218,25J07GJNEA,07.10.25,30,UN,,8
P109,I93,930101928,1001381431,24E25FJHLD,25.05.24,28,UN,,508
P109,I93,930102055,1001492121,25C06AJAEB,06.03.25,27,UN,,223
P109,I93,930101928,1001381433,24E23FJHLE,23.05.24,24,UN,,510
P109,I93,930101928,1001381434,24E25FJHLE,25.05.24,24,UN,,508
P109,I93,930102055,1001502344,25C18AJAEA,18.03.25,24,UN,,211
P109,I93,930102055,1001503380,25C19AJAEA,19.03.25,24,UN,,210
P109,I93,930102055,1001519489,25D02AJAEC,02.04.25,24,UN,,196
P109,I93,930102055,1001522141,25D03AJAED,03.04.25,24,UN,,195
P109,I93,930102055,1001522153,25D03AJAEE,03.04.25,24,UN,,195
P109,I93,930102055,1001522431,25D04AJAEC,04.04.25,24,UN,,194
P109,I93,930102055,1001522454,25D04AJAEB,04.04.25,24,UN,,194
P109,I93,930102055,1001525976,25D05AJAEB,05.04.25,24,UN,,193
P109,I93,930102055,1001545904,25D02AJAEB,02.04.25,24,UN,,196
P109,I93,920100670,1001613714,25J03GJNEA,03.10.25,24,UN,,12
P109,I93,920100670,1001613726,25J03GJNEE,03.10.25,24,UN,,12
P109,I93,920100670,1001613756,25J06GJNEB,06.10.25,24,UN,,9
P109,I93,920100669,1001614229,25J07GJIEB,07.10.25,24,UN,,8
P109,I93,920100670,1001614506,25J06GJNEC,06.10.25,24,UN,,9
P109,I93,920100668,1001615829,25J08GJAEB,08.10.25,24,UN,,7
P109,I93,920100668,1001615852,25J09GJAEC,09.10.25,24,UN,,6
P109,I93,920100668,1001615876,25J09GJAEH,09.10.25,24,UN,,6
P109,I93,930101927,1001378467,24E07FJALF,07.05.24,22,UN,,526
P109,I93,930101927,1001361531,24E06FJALC,06.05.24,21,UN,,527
P109,I93,930101926,1001383766,24F18FJNLA,18.06.24,21,UN,,484
P109,I93,930101926,1001476483,25B06FJNLA,06.02.25,21,UN,,251
P109,I93,930102055,1001512082,25C26AJAED,26.03.25,21,UN,,203
P109,I93,920100668,1001615555,25J10GJAEC,10.10.25,21,UN,,5
P109,I93,920100668,1001615568,25J10GJAEE,10.10.25,21,UN,,5
P109,I93,920100668,1001615841,25J09GJAEB,09.10.25,21,UN,,6
P109,I93,930101927,1001361723,24E07FJALB,07.05.24,20,UN,,526
P109,I93,930101928,1001381430,24E13FJHLA,13.05.24,20,UN,,520
P109,I93,930102055,1001516662,25C31AJAED,31.03.25,20,UN,,198
P109,I93,930101928,1001476350,25B01FJHLB,01.02.25,19,UN,,256
P109,I93,930101926,1001380061,24F01FJNLA,01.06.24,18,UN,,501
P109,I93,930101928,1001476449,25B05FJHLA,05.02.25,18,UN,,252
P109,I93,930101926,1001476511,25B07FJNLB,07.02.25,18,UN,,250
P109,I93,930102055,1001487509,25C04AJAED,04.03.25,18,UN,,225
P109,I93,930102055,1001492131,25C06AJAED,06.03.25,18,UN,,223
P109,I93,930102055,1001499457,25C14AJAED,14.03.25,18,UN,,215
P109,I93,930102055,1001500889,25C15AJAEC,15.03.25,18,UN,,214
P109,I93,930102055,1001502322,25C15AJAEB,15.03.25,18,UN,,214
P109,I93,930102055,1001502328,25C17AJAEC,17.03.25,18,UN,,212
P109,I93,930102055,1001503360,25C18AJAEC,18.03.25,18,UN,,211
P109,I93,930102055,1001503372,25C18AJAEE,18.03.25,18,UN,,211
P109,I93,930102055,1001503752,25C19AJAEB,19.03.25,18,UN,,210
P109,I93,930102055,1001505695,25C21AJAED,21.03.25,18,UN,,208
P109,I93,930102055,1001505699,25C21AJAEE,21.03.25,18,UN,,208
P109,I93,930102055,1001507751,25C21AJAEG,21.03.25,18,UN,,208
P109,I93,930102055,1001516097,25C29AJAEE,29.03.25,18,UN,,200
P109,I93,930102055,1001516674,25C31AJAEE,31.03.25,18,UN,,198
P109,I93,930102055,1001524255,25D05AJAEE,05.04.25,18,UN,,193
P109,I93,930102055,1001524267,25D07AJAEA,07.04.25,18,UN,,191
P109,I93,930102055,1001524329,25D07AJAEC,07.04.25,18,UN,,191
P109,I93,930102055,1001525660,25D08AJAEA,08.04.25,18,UN,,190
P109,I93,930102055,1001525665,25D07AJAEE,07.04.25,18,UN,,191
P109,I93,930102055,1001545781,25D01AJAEB,01.04.25,18,UN,,197
P109,I93,920100670,1001613731,25J04GJNEA,04.10.25,18,UN,,11
P109,I93,920100669,1001614255,25J07GJIED,07.10.25,18,UN,,8
P109,I93,920100668,1001615594,25J11GJAEC,11.10.25,18,UN,,4
P109,I93,920100668,1001615821,25J08GJAEA,08.10.25,18,UN,,7
P109,I93,930101927,1001382120,24E06FJALD,06.05.24,15,UN,,527
P109,I93,930101926,1001435721,25A06FJNLC,06.01.25,15,UN,,282
P109,I93,930102055,1001487392,25C03AJAEE,03.03.25,15,UN,,226
P109,I93,920100669,1001614516,25J08GJIEB,08.10.25,15,UN,,7
P109,I93,920100668,1001615869,25J09GJAEG,09.10.25,15,UN,,6
P109,I93,930101926,1001435839,25A07FJNLB,07.01.25,14,UN,,281
P109,I93,930101927,1001324186,24C08FJALD,08.03.24,12,UN,,586
